Phase 0,Phase 1,Phase 2,Phase 3,Phase 4,f_score,mse,epe,accuracy,jaccard,file,pel
23.51,1075.4,2631.71,146.51,22.96,0.19796476825722592,0.07155609130859375,1.9057605521635252,0.9284439086914062,0.8901437858871541,lena,pelModificato
15.65,1278.16,2453.96,85.5,22.61,0.1968986964300929,0.0719146728515625,1.9134100289804163,0.9280853271484375,0.8907999810990881,lena,pelBase
58.48,419.25,453.78,23.82,13.01,0.26083745661324864,0.06029518072289156,1.5856027423347934,0.9397048192771085,0.8500212314225053,apartment,pelModificato
6.96,494.29,537.18,24.0,6.53,0.26365376122479023,0.060265060240963855,1.5940332326283988,0.9397349397590361,0.8481559983043663,apartment,pelBase
36.37,428.98,337.05,15.6,6.82,0.35317243638746315,0.03425877725721557,0.8625850340136054,0.9657412227427844,0.7855437665782493,birds,pelModificato
13.06,508.87,356.84,15.7,8.08,0.3510985425277355,0.03450749031175892,0.8752693965517241,0.9654925096882411,0.7870712401055409,birds,pelBase
38.12,1333.22,2668.12,168.19,26.98,0.23533645196113712,0.057388117283950615,2.1987067893558816,0.9426118827160493,0.8666394779771616,cityscapes,pelModificato
32.28,1557.33,3453.68,136.91,19.16,0.23724208637703448,0.05740547839506173,2.1865620947322917,0.9425945216049383,0.8654142553872103,cityscapes,pelBase
80.86,1477.85,2773.26,126.6,35.67,0.2874810154046431,0.07601851851851851,1.5244861070242548,0.9239814814814815,0.8321297352084125,kitchen,pelModificato
14.52,1784.94,3523.78,133.76,32.04,0.2881086548186678,0.07603395061728395,1.5237536165038366,0.9239660493827161,0.8317015530047265,kitchen,pelBase
64.28,403.27,253.76,22.24,0.0,0.2596299666363361,0.028237607727456763,1.4288961038961039,0.9717623922725432,0.8508191007319623,rose,pelModificato
9.54,458.74,355.77,17.3,6.03,0.2597245345845316,0.02828966394817514,1.4523116715163271,0.9717103360518249,0.850756653331014,rose,pelBase
22.47,419.92,590.94,42.75,6.11,0.24643423137876388,0.04400485858060038,1.0670830441822807,0.9559951414193996,0.859466787166742,saint,pelModificato
12.21,496.38,628.62,22.6,7.0,0.24544110399211433,0.044276707733240786,1.065416285452882,0.9557232922667592,0.8601123595505618,saint,pelBase
18.15,443.97,1476.76,76.07,7.72,0.19597989949748745,0.07253839029539964,2.7827310426540284,0.9274616097046003,0.8913649025069638,worm,pelModificato
8.74,531.68,1453.63,64.45,0.0,0.20323817639539837,0.07266792313521285,2.7550695249130936,0.9273320768647871,0.8868864121413327,worm,pelBase
14.69,842.63,1915.7,101.26,9.21,0.19595286885245902,0.07184600830078125,1.905089529857987,0.9281539916992188,0.8913815135595626,lena,pelModificato
19.24,877.35,1619.87,86.22,20.16,0.19756243075087357,0.07183074951171875,1.9098339045610335,0.9281692504882812,0.8903915263854738,lena,pelBase
9.51,420.37,555.27,16.63,18.54,0.2604458880850436,0.060349397590361446,1.5766742770167428,0.9396506024096386,0.8502800882702427,apartment,pelModificato
7.95,506.91,488.38,34.1,2.74,0.26311529688764623,0.060331325301204816,1.5930956423316356,0.9396686746987952,0.8485130898924003,apartment,pelBase
5.31,429.43,348.39,15.63,0.0,0.3576419213973799,0.03403320030076928,0.8548123980424144,0.9659667996992307,0.7822387662855623,birds,pelModificato
12.88,503.37,353.88,14.01,0.0,0.3500108766586904,0.03456533055700156,0.8758081896551724,0.9654346694429984,0.7878707976268952,birds,pelBase
31.66,1335.22,3638.1,163.81,21.55,0.235935691318328,0.057297453703703705,2.202267488942877,0.9427025462962964,0.8662544839452886,cityscapes,pelModificato
16.88,1559.7,3445.42,141.33,15.83,0.23813796108789828,0.057332175925925925,2.18506393229971,0.9426678240740741,0.864837339230635,cityscapes,pelBase
31.73,1468.95,3523.57,130.58,21.19,0.28688213271599355,0.07605902777777777,1.5231364630657918,0.9239409722222223,0.8325380067567567,kitchen,pelModificato
35.35,1699.28,4139.8,110.39,31.31,0.2879887360554533,0.07608796296296297,1.5230956070187194,0.9239120370370371,0.831783387106978,kitchen,pelBase
15.65,433.39,229.96,9.02,7.01,0.25968109339407747,0.028197119555786916,1.4281992836209703,0.971802880444213,0.8507853403141361,rose,pelModificato
5.58,472.81,311.09,22.16,0.0,0.25597579425113465,0.028445832610330266,1.4454134366925064,0.9715541673896697,0.8532269257460097,rose,pelBase
11.84,449.67,482.59,28.67,3.11,0.2478700217951258,0.043912314188212155,1.0659569544087018,0.9560876858117878,0.8585321723397037,saint,pelModificato
15.01,507.86,529.51,42.51,13.39,0.2500246087213308,0.04406848285036728,1.0617875056999544,0.9559315171496328,0.8571267859151761,saint,pelBase
11.53,443.99,1197.18,61.19,15.63,0.204742460061609,0.07189720273832423,2.7677333726589,0.9281027972616758,0.885953711093376,worm,pelModificato
0.0,550.62,836.73,67.24,9.59,0.21078814583185276,0.07192310930628687,2.7451037284201365,0.9280768906937131,0.8821893867175088,worm,pelBase
13.98,727.13,2012.46,77.4,28.44,0.19691334273866015,0.07165908813476562,1.9023354564755839,0.9283409118652344,0.890790971168437,lena,pelModificato
14.13,890.62,1894.99,84.84,15.67,0.195540016202618,0.07197189331054688,1.9098187576983987,0.9280281066894531,0.8916351606805293,lena,pelBase
8.83,431.34,528.29,21.04,0.0,0.26300642019039183,0.06016265060240964,1.5806880821136666,0.9398373493975903,0.8485852663777721,apartment,pelModificato
12.31,482.95,473.55,32.04,6.38,0.2609463536684083,0.0605,1.596716361577656,0.9395,0.8499492213947191,apartment,pelBase
0.0,440.67,287.22,14.52,0.0,0.3553565578246151,0.03414309676673029,0.8574149659863946,0.9658569032332697,0.7839309428950864,birds,pelModificato
18.65,476.45,315.69,15.65,15.61,0.3513925152306353,0.03448435421366187,0.8722371967654986,0.9655156457863381,0.7868549557872508,birds,pelBase
31.46,1365.43,4036.5,160.95,17.73,0.23833637508675423,0.057158564814814815,2.1872395995273926,0.9428414351851852,0.8647094872617971,cityscapes,pelModificato
27.69,1612.54,2957.69,135.42,18.69,0.2373394189594605,0.057374614197530864,2.1798232057859925,0.9426253858024691,0.8653516045503477,cityscapes,pelBase
15.6,1491.08,3291.25,129.62,31.67,0.28765240041966644,0.07596450617283951,1.5227875268274207,0.9240354938271605,0.8320128457036614,kitchen,pelModificato
31.39,1730.64,3588.79,133.27,21.35,0.2882267966775009,0.0760378086419753,1.5252084992246762,0.9239621913580247,0.8316209202725796,kitchen,pelBase
0.0,447.28,235.64,14.47,2.03,0.2556869881710646,0.028387992365087628,1.4324675324675324,0.9716120076349124,0.8534167970787689,rose,pelModificato
12.51,479.02,321.81,0.0,16.64,0.255209906372697,0.028526808953669963,1.4507722007722008,0.97147319104633,0.8537303098494028,rose,pelBase
14.72,463.47,559.39,31.74,0.51,0.2472310126582278,0.04402799467869744,1.0643005300760544,0.9559720053213026,0.8589483186639585,saint,pelModificato
9.08,495.93,612.02,30.52,7.05,0.24780507053368842,0.044103186997512867,1.0620989917506873,0.9558968130024871,0.8585744848553091,saint,pelBase
7.5,481.62,1549.12,79.56,8.04,0.1988831615120275,0.07247362387549304,2.770839469808542,0.927526376124507,0.8895778678750298,worm,pelModificato
10.89,551.84,960.67,62.89,0.0,0.20492792728821985,0.07251896036942766,2.7446777697320783,0.9274810396305724,0.8858386075949367,worm,pelBase
13.93,751.5,1648.37,78.85,18.85,0.19617899730734709,0.07174301147460938,1.9087533156498673,0.9282569885253906,0.891242536252488,lena,pelModificato
15.6,914.67,2081.76,80.59,17.05,0.19375186463794056,0.07216262817382812,1.9102496483825597,0.9278373718261719,0.8927324209532799,lena,pelBase
15.65,434.94,455.42,31.3,0.0,0.2622757143911984,0.06018674698795181,1.5810013325718637,0.9398132530120482,0.8490694314608651,apartment,pelModificato
8.01,488.51,476.58,30.06,8.91,0.26135610689832883,0.060439759036144576,1.595314566408464,0.9395602409638554,0.8496781842818428,apartment,pelBase
15.8,432.75,307.76,12.04,15.66,0.3509116715798668,0.034386025796749375,0.8632036986673919,0.9656139742032506,0.787208686440678,birds,pelModificato
6.86,492.47,344.26,14.15,22.96,0.3507705665291947,0.034600034704147145,0.8887995712754555,0.9653999652958528,0.7873124506449065,birds,pelBase
29.75,1341.28,3380.03,141.82,34.15,0.23763598487771004,0.05718171296296296,2.196189527426686,0.9428182870370371,0.8651606689431749,cityscapes,pelModificato
30.11,1632.28,4205.12,126.72,32.64,0.23791211608470492,0.05734182098765432,2.172083539298072,0.9426581790123457,0.8649828318687074,cityscapes,pelBase
24.92,1461.45,3585.2,137.24,31.67,0.28791662143089786,0.07591435185185186,1.521918558133659,0.9240856481481482,0.8318325935320228,kitchen,pelModificato
32.59,1724.16,5179.16,126.69,29.97,0.28827949996387026,0.07599922839506174,1.5247724126358182,0.9240007716049383,0.8315849462819511,kitchen,pelBase
13.51,437.72,292.12,16.42,0.0,0.25554542692190824,0.028341720168893515,1.4286179921773141,0.9716582798311065,0.8535098414910294,rose,pelModificato
9.27,529.63,263.44,15.67,0.0,0.2559055118110236,0.02842269651223321,1.4459546925566342,0.9715773034877668,0.8532731376975169,rose,pelBase
9.09,438.53,497.08,29.74,0.0,0.24913357758193885,0.04386025796749378,1.0638002773925104,0.9561397420325062,0.8577084040266938,saint,pelModificato
9.2,508.18,585.58,28.89,12.93,0.24657804037419992,0.044253571635143735,1.060474669100867,0.9557464283648562,0.8593732449736045,saint,pelBase
17.33,441.46,1134.6,74.44,2.53,0.20383350021456156,0.07209797864003471,2.7605820105820107,0.9279020213599652,0.8865174802898782,worm,pelModificato
7.62,537.77,1375.63,67.83,11.76,0.1983236255149879,0.07309538150659646,2.7569565217391303,0.9269046184934036,0.8899227251222205,worm,pelBase
45.36,724.97,1899.2,92.05,16.21,0.1965727960343575,0.07172012329101562,1.9043662718755525,0.9282798767089844,0.8910004265200702,lena,pelModificato
